Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
4464	51465	GATA4	HUES64	Embryonic Stem Cell	Embryo	0.9185003431526323	0.8726141885043908	0.9972253105941409	0.9921031173216777
4465	36806	GREB1	MCF-7	Epithelium	Breast	0.8039027932203338	0.7950576447617588	0.997308331159245	0.9921096024469306
4466	63869	KLF1	K562	Erythroblast	Bone Marrow	0.9429614252350855	0.9064640678454946	0.997170433729815	0.9921302173011353
4467	68864	NR3C1	ZR-75-1	Embryonic Stem Cell	Breast	0.5783246622859731	0.25924692662065385	0.9973914480986577	0.9921311144078069
4468	45758	NFYB	HeLa-S3	Epithelium	Cervix	0.5465865606465471	0.3473257406622485	0.99739072143503	0.9921495887895762
4469	77036	ZNF789	293T	None	None	0.9811925712185221	0.4603923808027406	0.9969658441919687	0.9921540745541915
4470	64112	SMARCA4	K562	Erythroblast	Bone Marrow	0.9911744121245805	0.958130453828607	0.9959232011758135	0.9921543641443415
4471	62869	ARNT	K562	Erythroblast	Bone Marrow	0.9787805926725106	0.9313984416018244	0.9969072893746951	0.9922040481317402
4472	63090	PRPF4	HepG2	Epithelium	Liver	0.898317722455652	0.5672027873140788	0.9973317937340178	0.9922082532324388
4473	62734	TAL1	K562	Erythroblast	Bone Marrow	0.8776681163945421	0.9802571859190525	0.9969384043473922	0.9922087691001807
4474	46094	MAX	ECC-1	Epithelium	Endometrium	0.639747357923567	0.8363980839878469	0.9973682740323025	0.9922497908952888
4475	72121	SMARCA4	BT-16	None	Brain	0.9959925381409089	0.9347470677303803	0.9920008155125842	0.9923016408341829
4476	71224	AR	LNCaP	Epithelium	Prostate	0.4512078042918894	0.10769050491321513	0.9975172279244807	0.9923747257478243
4477	70120	ASCL1	NCI-H889	None	None	0.9130110473570062	0.9103938193858695	0.9973083106325958	0.9923790543717848
4478	53301	FLI1	TSU-1621-MT	None	None	0.8253021171199194	0.7677850966911417	0.9974044556243435	0.9923856639190158
4479	51468	GATA4	HUES64	Embryonic Stem Cell	Embryo	0.742807338523366	0.40371566012624377	0.9974498779221078	0.9923901743346719
4480	38790	KLF3	LoVo	None	Colon	0.991600294857036	0.4713429723809325	0.996380055930575	0.9924060431551545
4481	55844	BRD4	TC-797	None	None	0.987482324448401	0.8958244142724536	0.9967318601231226	0.9924079169386908
4482	38841	CREB3	LoVo	None	Colon	0.9125161448487035	0.5715111479768151	0.9973905527970836	0.9924079193300088
4483	35087	BCOR	None	B Lymphocyte	None	0.6709230632354635	0.5989044395527495	0.9974542264087413	0.9924195223752581
4484	8434	TCF7L2	K562	Erythroblast	Bone Marrow	0.8628957758079971	0.8616120733367708	0.9973882117308056	0.9924347008065014
4485	73977	ZIM3	293T	None	None	0.5234417648228689	0.125124994977304	0.9975255115409718	0.9924403948276608
4486	54020	PR	MCF-7	Epithelium	Breast	0.9370517812759529	0.2299974078174455	0.9974217846544259	0.9925008562901219
4487	46139	ZEB1	GM12878	B Lymphocyte	Blood	0.8540010392608016	0.3167562512008594	0.9974774718490562	0.9925152785024153
4488	45690	BACH1	H1	Embryonic Stem Cell	Embryo	0.8743968052465529	0.6964928802621615	0.9974557754496199	0.9925537292103337
4489	54625	NCAPG	MCF-7	Epithelium	Breast	0.9587081066043469	0.7439436874865812	0.99734141371486	0.9925615627959037
4490	36110	ESR1	None	Epithelium	Mammary Gland	0.9320104550264038	0.7611380373577199	0.9974061728168627	0.9925641132514624
4491	63656	SIN3A	MCF-7	Epithelium	Breast	0.9722707812217403	0.9890227659088343	0.9963977107156025	0.9925870254660758
4492	54014	PR	MCF-7	Epithelium	Breast	0.9320170284642976	0.32788367114785216	0.9974496112940145	0.9925882159456031
4493	67739	AR	LNCaP	Epithelium	Prostate	0.21712277580048156	0.30678909669791854	0.997576552075702	0.9926226521887171
4494	1229	GTF3C1	HeLa	Epithelium	Cervix	0.9739815211796818	0.9484375379144061	0.9971349859834083	0.9926230915642829
4495	49877	WDR5	A673	Polygonal	Muscle	0.5299060173470809	0.6405147849052175	0.9975442525217989	0.9926659845985406
4496	47601	KLF5	KATO III	None	Stomach	0.7947363965097503	0.5842332217667342	0.9975263545992497	0.9926713828307039
4497	58086	KDM2B	None	Myeloid Cell	None	0.9357682996865567	0.4468495280340998	0.9974674116959906	0.9926783577577416
4498	42152	CTCF	HCT-116	None	Colon	0.9900738907326058	0.14296687724013807	0.9968404624826567	0.9926964228422719
4499	75273	ZBTB48	U2OS	None	None	0.7143981396091801	0.6503214238949839	0.997552351246641	0.992731341648339
4500	55726	SUMO2	VCaP	Epithelium	Prostate	0.9577823284113599	0.07059194941945109	0.9975245521902598	0.9927474137011016
4501	4420	PML	None	Promyelocytic cell	Bone Marrow	0.8545867346844087	0.23735508916501763	0.9975649182610066	0.9927486751376198
4502	38650	NFYA	LoVo	None	Colon	0.633010335793934	0.26996002605655456	0.9975927423730615	0.9927553480256369
4503	74392	RELA	MCF-7	None	Breast	0.6306358113061463	0.10896815836585932	0.9976295425511225	0.9927619175990146
4504	70561	MYC	U2OS	None	Bone	0.6895449970343047	0.5672175194272533	0.9975732034857984	0.992769884945166
4505	35580	RCOR1	HeLa-S3	Epithelium	Cervix	0.9926771771404885	0.7906294699293797	0.9963552617928736	0.9927715972272809
4506	71207	PIAS1	LNCaP	Epithelium	Prostate	0.8752577251165499	0.01586159704558238	0.9978741622389173	0.9927724051868423
4507	36140	TP63	None	Keratinocyte	None	0.9919639275870737	0.8247222717009746	0.9964981524321143	0.9927737378995933
4508	46295	ZBTB7A	K562	Erythroblast	Bone Marrow	0.6449149461984509	0.8841841660788847	0.9975388871054334	0.992791429559139
4509	966	PRDM14	H1	Embryonic Stem Cell	Embryo	0.9307551216819624	0.09474897420969347	0.9975744948115683	0.9927940171614855
4510	8807	CHD1	H1	Embryonic Stem Cell	Embryo	0.6060027172424333	0.7034142807977839	0.9975782238868638	0.9927954633623635
4511	64212	H3F3A	None	Neuron	None	0.9975179118372618	0.5935520399341707	0.9239259727655142	0.9928022025703
4512	38782	AEBP2	LoVo	None	Colon	0.9053810124514685	0.7169263068392241	0.9975243337757954	0.9928022755788055
4513	51863	HSF1	451Lu	Melanoma Cell	None	0.6938893830582501	0.37409001911091355	0.9975974961805778	0.9928087782882544
4514	4611	TAL1	None	Proerythroblast	Bone Marrow	0.8505029641858155	0.6159899356150604	0.9975655446670204	0.9928267498036418
4515	42918	CTCF	GP5d	None	Colon	0.9921376763038114	0.09903512309033602	0.9966845598206888	0.9928413311393718
4516	72780	CTCF	K562	Leukemia	Bone	0.9557170207963166	0.033352080939603033	0.9976639923289088	0.9928691348679499
4517	62666	HLTF	K562	Erythroblast	Bone Marrow	0.6234082996208221	0.842223478916341	0.9975916001540902	0.9928972036320295
4518	44027	AGO2	PC-3	Epithelium	Prostate	0.9727357675893282	0.9173879205042255	0.9973325239359323	0.9929139574589338
4519	42772	MXD3	LoVo	None	Colon	0.974713037669658	0.352203191289331	0.9974124550695092	0.9929314866153716
4520	72113	SMARCA4	TTC-549	Liver cell	Liver	0.9975430483802205	0.8352894785493612	0.9350014942027266	0.9929867141484616
4521	63971	SMARCA4	K562	Erythroblast	Bone Marrow	0.9490047724428798	0.9506272106691496	0.9974239012882594	0.9929870105377292
4522	8482	KAT7	RKO	Epithelium	Colon	0.9024395351774274	0.7004217712216613	0.9976023999899422	0.9930128686232327
4523	63631	ZNF501	HEK293	Epithelium	Embryonic Kidney	0.9954356105089437	0.8625982149539988	0.9950856233867751	0.9930139936861632
4524	48276	ZBTB33	GM12878	B Lymphocyte	Blood	0.8174429876925777	0.839387574614084	0.9976128505114352	0.993015506109044
4525	74674	SMAD4	HepG2	Epithelium	Liver	0.6445338810147562	0.055530495436614834	0.9977863294193899	0.9931114831385786
4526	43756	BRD4	DND-41	T Lymphocyte	Blood	0.7956500604661871	0.45799300999204884	0.9976930154791813	0.993139900440113
4527	69273	AR	VCaP	Epithelium	Prostate	0.27818495544970345	0.48591948487942555	0.9977294655255717	0.99314625321126
4528	58485	POU5F1	None	Embryonic Stem Cell	Embryo	0.9025888115354465	0.6049209819202288	0.9976593931946112	0.9931556462716861
4529	2395	STAG1	MCF-7	Epithelium	Breast	0.9855499088821286	0.8005324145289707	0.997266716159308	0.9931727273865429
4530	8099	MYC	HeLa	Epithelium	Cervix	0.9952663185417763	0.8500644805267479	0.9955070707416929	0.9931822793062355
4531	77167	ZNF180	293T	None	None	0.9976044422306103	0.8528880102204948	0.9397943147007033	0.9931851700048258
4532	46233	CEBPB	HepG2	Epithelium	Liver	0.5877398052903313	0.5044099076245474	0.9977232628992659	0.9931851781858718
4533	42538	CTCF	GM2610	Lymphoblastoid	Blood	0.9868985087574706	0.026716772797072977	0.9975280660702176	0.9932362743098133
4534	65160	ZNF528	HEK293	Epithelium	Embryonic Kidney	0.5691073336657226	0.1975627308098113	0.997764459985042	0.9932383270256487
4535	45817	MAFK	HepG2	Epithelium	Liver	0.7905792538740712	0.188046790020156	0.9977528807530861	0.9932501530819482
4536	72498	ESR1	None	None	Breast	0.8539503094895275	0.9088662877980987	0.9976607256947086	0.9932519510379991
4537	64240	ZNF146	HEK293	Epithelium	Embryonic Kidney	0.9776829032848556	0.5239771298828648	0.9975088988337913	0.993280463576292
4538	42502	STAG1	GM19240	Lymphoblastoid	Blood	0.932926271764779	0.3136781387914541	0.9976973849319047	0.9932878815643408
4539	55718	SUMO2	VCaP	Epithelium	Prostate	0.5600493998462924	0.17729110256037656	0.9977915959345792	0.9933099851765421
4540	46297	E2F6	K562	Erythroblast	Bone Marrow	0.7547020243224736	0.8767078918205526	0.9977142622300024	0.9933109010692567
4541	33174	MYC	U87	None	Brain	0.8067334129964459	0.5882614165742057	0.9977630521504602	0.9933703428264906
4542	38812	ASCL2	LoVo	None	Colon	0.916364616035082	0.7037785359351902	0.9977338688147216	0.9934117843995359
4543	49650	MED1	MCF-7	Epithelium	Breast	0.9938651226593604	0.6378994161212221	0.9965773981991154	0.9934306229110687
4544	56251	MYBL2	None	Epithelium	Mammary Gland	0.9826957891302062	0.9465717133507058	0.9973871594777721	0.9934648236368321
4545	56393	AR	None	None	Prostate	0.11553071827853306	0.11215341477064833	0.997899267073096	0.9934678286366488
4546	77024	ZNF846	293T	None	None	0.9549557975413974	0.5316989591289089	0.9977116793484018	0.9934700919077697
4547	47550	MYC	P493-6	B cell lymphoma	None	0.3908148878398968	0.5618520876822574	0.997826647210832	0.9934736091908425
4548	43194	FOXM1	HeLa	Epithelium	Cervix	0.9869715843237482	0.9715984574381629	0.9971388414805542	0.9934979344057435
4549	56849	KRAB	K562	Erythroblast	Bone Marrow	0.9520849853724345	0.9694651556386785	0.9975649052912879	0.9935355806384677
4550	44582	AR	VCaP	Epithelium	Prostate	0.5555687099173228	0.06553692123581148	0.9979111232244349	0.993538588094605
4551	38720	KLF10	LoVo	None	Colon	0.9206799703844601	0.9046589609352458	0.997736587355505	0.9935398468559168
4552	62990	GLI4	HEK293	Epithelium	Embryonic Kidney	0.9963573446747149	0.9890054189309343	0.9901333819117402	0.9935734516091403
4553	70560	MYC	U2OS	None	Bone	0.979331873897919	0.859761227784857	0.9975785261466864	0.9935898235907927
4554	76250	CTCF	None	Epithelium	Breast	0.9485891063147965	0.02408940244242403	0.9979608541420365	0.9935939441842774
4555	5555	ESR1	H3396	Epithelium	Mammary Gland	0.9733847728533049	0.9079236696090442	0.9976257986664973	0.9936073692468778
4556	45234	SAP30	H1	Embryonic Stem Cell	Embryo	0.9615576300047314	0.9317735299982008	0.997678507669168	0.9936323429759988
4557	8821	SAP30	H1	Embryonic Stem Cell	Embryo	0.9615576300047314	0.9317735299982008	0.997678507669168	0.9936323429759988
4558	57117	FOXM1	MCF-7	Epithelium	Breast	0.49918192194991085	0.15455125863124464	0.9979040484240874	0.9936333363369279
4559	59344	EBF1	MutuI	B Lymphocyte	None	0.6894708462696352	0.6077038268569603	0.997863188260912	0.9936342987659983
4560	44094	ETS1	None	T Lymphocyte	Blood	0.4997393858989471	0.6417775178990871	0.9978729459482047	0.993639847566026
4561	49847	FLI1	SK-N-MC	None	Brain	0.8951336099297309	0.9166558701677805	0.9977825629312703	0.9936432320928974
4562	39920	ICE1	HCT-116	None	Colon	0.5989174283410567	0.25150939804056643	0.9978904200554378	0.993643809772582
